date,location,male_type,female_type,male_abundance,female_abundance,male_percentage,transformed_male_percentage,temp,duration,male_density,female_density,Total_density,total_number,total_density
4102018,wood,NE,NE,3,3,0.181818182,0.340909091,,30,,,,6,1.933333333
4102018,wood,Yellow,Yellow,18,32,0.923076923,0.711538462,,30,,,,50,NA
4102018,wood,Red,Red,2,0,0.035714286,0.267857143,,30,,,,2,NA
4102018,lake,NE,NE,18,24,0.857142857,0.678571429,22,30,0.6,0.8,1.4,42,3.633333333
4102018,lake,Yellow,Yellow,3,0,0.142857143,0.321428572,22,30,0.1,0,0.1,3,NA
4102018,lake,Red,Red,42,22,0.965517241,0.732758621,22,30,1.4,0.75,2.15,64,NA
7102017,wood,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
7102017,wood,Yellow,Yellow,34,NA,0.918918919,0.70945946,NA,NA,NA,NA,NA,34,NA
7102017,wood,Red,Red,3,NA,0.069767442,0.284883721,NA,NA,NA,NA,NA,3,NA
7102017,lake,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
7102017,lake,Yellow,Yellow,3,NA,0.081081081,0.290540541,NA,NA,NA,NA,NA,3,NA
7102017,lake,Red,Red,40,NA,0.930232558,0.715116279,NA,NA,NA,NA,NA,40,NA
9102018,wood,NE,NE,1,0,0.035714286,0.267857143,,35,,,,1,0.457142857
9102018,wood,Yellow,Yellow,10,5,1,0.75,,35,,,,15,NA
9102018,wood,Red,Red,0,0,0,0.25,,35,,,,0,NA
9102018,lake,NE,NE,9,4,0.9,0.7,21,25,0.36,0.16,0.52,13,2.28
9102018,lake,Yellow,Yellow,1,10,0.090909091,0.295454546,21,25,0.04,0.4,0.44,11,1.76
9102018,lake,Red,Red,27,6,1,0.75,21,25,1.08,0.24,1.32,33,2
13102017,wood,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
13102017,wood,Yellow,Yellow,17,NA,0.894736842,0.697368421,NA,NA,NA,NA,NA,17,NA
13102017,wood,Red,Red,0,NA,0,0.25,NA,NA,NA,NA,NA,0,NA
13102017,lake,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
13102017,lake,Yellow,Yellow,2,NA,0.105263158,0.302631579,NA,NA,NA,NA,NA,2,NA
13102017,lake,Red,Red,49,NA,1,0.75,NA,NA,NA,NA,NA,49,NA
14092017,wood,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
14092017,wood,Yellow,Yellow,12,NA,0.857142857,0.678571429,NA,NA,NA,NA,NA,12,NA
14092017,wood,Red,Red,3,NA,0.142857143,0.321428572,NA,NA,NA,NA,NA,3,NA
14092017,lake,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,,0,NA
14092017,lake,Yellow,Yellow,2,NA,0.142857143,0.321428572,NA,NA,NA,NA,NA,2,NA
14092017,lake,Red,Red,18,NA,0.857142857,0.678571429,NA,NA,NA,NA,NA,18,NA
17102017,wood,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
17102017,wood,Yellow,Yellow,18,NA,0.947368421,0.723684211,NA,NA,NA,NA,NA,18,NA
17102017,wood,Red,Red,2,NA,0.047619048,0.273809524,NA,NA,NA,NA,NA,2,NA
17102017,lake,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
17102017,lake,Yellow,Yellow,1,NA,0.052631579,0.27631579,NA,NA,NA,NA,NA,1,NA
17102017,lake,Red,Red,40,NA,0.952380952,0.726190476,NA,NA,NA,NA,NA,40,NA
18092018,wood,NE,NE,2,1,0.25,0.375,,35,0.057142857,0.028571429,0.085714286,3,1.057142857
18092018,wood,Yellow,Yellow,15,17,1,0.75,,35,0.428571429,0.485714286,0.914285714,32,NA
18092018,wood,Red,Red,2,0,0.066666667,0.283333334,,35,0.1,0,0.1,2,NA
18092018,lake,NE,NE,8,9,0.8,0.65,24,35,0.228571429,0.257142857,0.485714286,17,1.171428571
18092018,lake,Yellow,Yellow,1,8,0.0625,0.28125,24,35,0.028571429,0.228571429,0.257142857,9,NA
18092018,lake,Red,Red,15,0,0.882352941,0.691176471,24,35,0.428571429,0,0.428571429,15,NA
18102017,wood,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
18102017,wood,Yellow,Yellow,15,NA,0.9375,0.71875,NA,NA,NA,NA,NA,15,NA
18102017,wood,Red,Red,0,NA,0,0.25,NA,NA,NA,NA,NA,0,NA
18102017,lake,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
18102017,lake,Yellow,Yellow,1,NA,0.0625,0.28125,NA,NA,NA,NA,NA,1,NA
18102017,lake,Red,Red,35,NA,1,0.75,NA,NA,NA,NA,NA,35,NA
19092018,wood,NE,NE,3,3,0.375,0.4375,,35,0.085714286,0.085714286,0.171428571,6,0.942857143
19092018,wood,Yellow,Yellow,10,14,1,0.75,,35,1,1.4,2.4,24,NA
19092018,wood,Red,Red,3,0,0.078947368,0.289473684,,35,0.15,0,0.15,3,NA
19092018,lake,NE,NE,6,4,0.666666667,0.583333334,20,30,0.2,0.133333333,0.333333333,10,1.6
19092018,lake,Yellow,Yellow,0,10,0,0.25,20,30,0,0.333333333,0.333333333,10,NA
19092018,lake,Red,Red,28,0,0.903225806,0.701612903,20,30,0.933333333,0,0.933333333,28,NA
21092019,wood,NE,NE,1,1,0.2,0.35,21,30,,,,2,0.866666667
21092019,wood,Yellow,Yellow,14,10,1,0.75,21,30,,,,24,NA
21092019,wood,Red,Red,0,0,0,0.25,21,30,,,,0,NA
21092019,lake,NE,NE,8,7,0.888888889,0.694444445,21,30,,,,15,2.366666667
21092019,lake,Yellow,Yellow,1,8,0.066666667,0.283333334,21,30,,,,9,NA
21092019,lake,Red,Red,46,1,1,0.75,21,30,,,,47,NA
21102018,wood,NE,NE,2,2,0.111111111,0.305555556,,30,,,,4,1.333333333
21102018,wood,Yellow,Yellow,21,15,0.933333333,0.716666667,,30,,,,36,NA
21102018,wood,Red,Red,0,0,0,0.25,,30,,,,0,NA
21102018,lake,NE,NE,27,24,0.964285714,0.732142857,25,60,0.45,0.4,0.85,51,1.933333333
21102018,lake,Yellow,Yellow,0,10,0,0.25,25,60,0,0.166666667,0.166666667,10,NA
21102018,lake,Red,Red,30,25,1,0.75,25,60,0.5,0.416666667,0.916666667,55,NA
23092019,wood,NE,NE,3,3,0.272727273,0.386363637,21,30,,,,6,0.766666667
23092019,wood,Yellow,Yellow,8,9,1,0.75,21,30,,,,17,NA
23092019,wood,Red,Red,0,0,0,0.25,21,30,,,,0,NA
23092019,lake,NE,NE,4,6,0.571428571,0.535714286,21,30,,,,10,1.4
23092019,lake,Yellow,Yellow,0,4,0,0.25,21,30,,,,4,NA
23092019,lake,Red,Red,28,0,1,0.75,21,30,,,,28,NA
24092019,wood,NE,NE,2,1,1,0.75,22,30,,,,3,0.666666667
24092019,wood,Yellow,Yellow,12,5,1,0.75,22,30,,,,17,NA
24092019,wood,Red,Red,0,0,0,0.25,22,30,,,,0,NA
24092019,lake,NE,NE,8,9,0.8,0.65,22,30,,,,17,2.566666667
24092019,lake,Yellow,Yellow,0,12,0,0.25,22,30,,,,12,NA
24092019,lake,Red,Red,48,0,1,0.75,22,30,,,,48,NA
25092017,wood,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
25092017,wood,Yellow,Yellow,16,NA,0.842105263,0.671052632,NA,NA,NA,NA,NA,16,NA
25092017,wood,Red,Red,5,NA,0.098039216,0.299019608,NA,NA,NA,NA,NA,5,NA
25092017,lake,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
25092017,lake,Yellow,Yellow,3,NA,0.157894737,0.328947369,NA,NA,NA,NA,NA,3,NA
25092017,lake,Red,Red,46,NA,0.901960784,0.700980392,NA,NA,NA,NA,NA,46,NA
25102017,wood,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
25102017,wood,Yellow,Yellow,14,NA,0.875,0.6875,NA,NA,NA,NA,NA,14,NA
25102017,wood,Red,Red,0,NA,0,0.25,NA,NA,NA,NA,NA,0,NA
25102017,lake,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
25102017,lake,Yellow,Yellow,2,NA,0.125,0.3125,NA,NA,NA,NA,NA,2,NA
25102017,lake,Red,Red,41,NA,1,0.75,NA,NA,NA,NA,NA,41,NA
28092018,wood,NE,NE,1,0,0.111111111,0.305555556,,30,,,,1,0.533333333
28092018,wood,Yellow,Yellow,10,5,1,0.75,,30,,,,15,NA
28092018,wood,Red,Red,0,0,0,0.25,,30,,,,0,NA
28092018,lake,NE,NE,5,5,0.833333333,0.666666667,28,35,0.142857143,0.142857143,0.285714286,10,1.628571429
28092018,lake,Yellow,Yellow,0,6,0,0.25,28,35,0,0.171428571,0.171428571,6,NA
28092018,lake,Red,Red,35,6,1,0.75,28,35,1,0.171428571,1.171428571,41,NA